Country or Area,Maternal mortality ratio reported
Afghanistan,330.0
Albania,21.0
Antigua and Barbuda,0.0
Argentina,44.0
Armenia,9.0
Azerbaijan,24.0
Bahamas,0.0
Bangladesh,220.0
Barbados,0.0
Belarus,1.0
Belize,55.0
Benin,400.0
Bhutan,260.0
Bolivia (Plurinational State of),310.0
Bosnia and Herzegovina,3.0
Botswana,160.0
Brazil,75.0
Bulgaria,8.0
Burkina Faso,340.0
Burundi,500.0
Cambodia,210.0
Cameroon,670.0
Cape Verde,54.0
Central African Republic,540.0
Chad,1100.0
Chile,20.0
China,30.0
Colombia,63.0
Comoros,380.0
Congo,780.0
Cook Islands,0.0
Costa Rica,23.0
Côte d'Ivoire,540.0
Croatia,9.0
Cuba,41.0
Czech Republic,2.0
Democratic People's Republic of Korea,77.0
Democratic Republic of the Congo,550.0
Djibouti,550.0
Dominica,0.0
Dominican Republic,160.0
Ecuador,61.0
Egypt,55.0
El Salvador,56.0
Estonia,7.0
Ethiopia,680.0
Fiji,23.0
Gabon,520.0
Gambia,730.0
Georgia,19.0
Ghana,450.0
Grenada,0.0
Guatemala,140.0
Guinea,980.0
Guinea-Bissau,410.0
Guyana,86.0
Haiti,630.0
Hungary,19.0
India,210.0
Indonesia,230.0
Iran (Islamic Republic of),25.0
Iraq,84.0
Jamaica,95.0
Jordan,19.0
Kazakhstan,17.0
Kenya,490.0
Kiribati,0.0
Kyrgyzstan,64.0
Lao People's Democratic Republic,410.0
Latvia,32.0
Lesotho,1200.0
Liberia,990.0
Lithuania,9.0
Madagascar,500.0
Malawi,680.0
Malaysia,30.0
Maldives,140.0
Mali,460.0
Marshall Islands,140.0
Mauritania,690.0
Mauritius,22.0
Mexico,52.0
Micronesia (Federated States of),0.0
Mongolia,47.0
Montenegro,13.0
Morocco,130.0
Mozambique,500.0
Myanmar,320.0
Namibia,450.0
Nauru,300.0
Nepal,280.0
Nicaragua,63.0
Niger,650.0
Nigeria,550.0
Niue,0.0
Oman,26.0
Pakistan,280.0
Palau,0.0
Panama,60.0
Papua New Guinea,730.0
Paraguay,100.0
Peru,93.0
Philippines,160.0
Poland,2.0
Republic of Moldova,15.0
Romania,21.0
Russian Federation,17.0
Rwanda,480.0
Saint Kitts and Nevis,0.0
Saint Lucia,0.0
Saint Vincent and the Grenadines,0.0
Samoa,29.0
Sao Tome and Principe,160.0
Senegal,390.0
Serbia,9.0
Seychelles,57.0
Sierra Leone,860.0
Slovakia,10.0
Slovenia,10.0
Solomon Islands,150.0
Somalia,1000.0
South Africa,400.0
South Sudan,2100.0
Sri Lanka,39.0
Sudan,94.0
Suriname,180.0
Swaziland,590.0
Syrian Arab Republic,65.0
Tajikistan,45.0
Thailand,12.0
The former Yugoslav Republic of Macedonia,4.0
Timor-Leste,560.0
Tonga,36.0
Turkey,29.0
Turkmenistan,12.0
Tuvalu,0.0
Uganda,440.0
Ukraine,16.0
United Arab Emirates,0.0
United Republic of Tanzania,450.0
United States,13.0
Uruguay,34.0
Uzbekistan,21.0
Vanuatu,86.0
Venezuela (Bolivarian Republic of),63.0
Viet Nam,69.0
Yemen,370.0
Zambia,590.0
Zimbabwe,960.0
