Country or Area,Annual number of under-five deaths
Afghanistan,128
Albania,1
Algeria,21
Andorra,0
Angola,120
Antigua and Barbuda,0
Argentina,10
Armenia,1
Australia,1
Austria,0
Azerbaijan,8
Bahamas,0
Bahrain,0
Bangladesh,134
Barbados,0
Belarus,1
Belgium,1
Belize,0
Benin,36
Bhutan,1
Bolivia (Plurinational State of),13
Bosnia and Herzegovina,0
Botswana,1
Brazil,44
Brunei Darussalam,0
Bulgaria,1
Burkina Faso,101
Burundi,39
Cambodia,13
Cameroon,88
Canada,2
Cape Verde,0
CEE/CIS,125
Central African Republic,25
Chad,79
Chile,2
China,249
Colombia,16
Comoros,2
Congo,14
Cook Islands,0
Costa Rica,1
Côte d'Ivoire,75
Croatia,0
Cuba,1
Cyprus,0
Czech Republic,0
Democratic People's Republic of Korea,12
Democratic Republic of the Congo,465
Denmark,0
Djibouti,2
Dominica,0
Dominican Republic,5
East Asia and Pacific,590
Eastern and Southern Africa,1177
Ecuador,7
Egypt,40
El Salvador,2
Equatorial Guinea,3
Eritrea,13
Estonia,0
Ethiopia,194
Fiji,0
Finland,0
France,3
Gabon,3
Gambia,6
Georgia,1
Germany,3
Ghana,60
Greece,1
Grenada,0
Guatemala,14
Guinea,48
Guinea-Bissau,9
Guyana,0
Haiti,19
Honduras,4
Hungary,1
Iceland,0
India,1655
Indonesia,134
Iran (Islamic Republic of),33
Iraq,42
Ireland,0
Israel,1
Italy,2
Jamaica,1
Japan,4
Jordan,3
Kazakhstan,11
Kenya,107
Kiribati,0
Kuwait,1
Kyrgyzstan,4
Lao People's Democratic Republic,6
Latin America and Caribbean,203
Latvia,0
Least Developed Countries/Territories,2649
Lebanon,1
Lesotho,5
Liberia,12
Libya,2
Lithuania,0
Luxembourg,0
Madagascar,45
Malawi,52
Malaysia,4
Maldives,0
Mali,121
Malta,0
Marshall Islands,0
Mauritania,13
Mauritius,0
Mexico,34
Micronesia (Federated States of),0
Middle East and North Africa,351
Monaco,0
Mongolia,2
Montenegro,0
Morocco,21
Mozambique,86
Myanmar,53
Namibia,2
Nauru,0
Nepal,34
Netherlands,1
New Zealand,0
Nicaragua,4
Niger,89
Nigeria,756
Niue,0
Norway,0
Oman,0
Pakistan,352
Palau,0
Panama,1
Papua New Guinea,12
Paraguay,3
Peru,11
Philippines,57
Poland,2
Portugal,0
Qatar,0
Republic of Korea,3
Republic of Moldova,1
Romania,3
Russian Federation,20
Rwanda,23
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,6
Senegal,30
Serbia,1
Seychelles,0
Sierra Leone,42
Singapore,0
Slovakia,0
Slovenia,0
Solomon Islands,0
Somalia,71
South Africa,47
South Asia,2309
South Sudan,43
Spain,2
Sri Lanka,5
State of Palestine,3
Sub-Saharan Africa,3370
Sudan,95
Suriname,0
Swaziland,4
Sweden,0
Switzerland,0
Syrian Arab Republic,7
Tajikistan,12
Thailand,10
The former Yugoslav Republic of Macedonia,0
Timor-Leste,2
Togo,21
Tonga,0
Trinidad and Tobago,1
Tunisia,3
Turkey,20
Turkmenistan,5
Tuvalu,0
Uganda,131
Ukraine,5
United Arab Emirates,1
United Kingdom,4
United Republic of Tanzania,122
United States,32
Uruguay,1
Uzbekistan,30
Vanuatu,0
Venezuela (Bolivarian Republic of),9
Viet Nam,32
Western and Central Africa,2096
World,6914
Yemen,70
Zambia,46
Zimbabwe,24
